Unique Key,Month,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39295907,May,5/26/2018 16:33,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,BLOOMINGDALE PLAYGROUND,MANHATTAN,10025,40.79915084,-73.96597662,"(40.799150836353306, -73.96597661995061)"
38440574,February,2/11/2018 10:20,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,SARA D ROOSEVELT PARK,MANHATTAN,10002,40.72170713,-73.99155094,"(40.72170712534195, -73.991550938343)"
39046980,April,4/27/2018 13:55,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Recreation Center,TONY DAPOLITO RECREATION CENTER,MANHATTAN,10014,40.7295875,-74.00545177,"(40.72958750370325, -74.00545176852266)"
39148342,May,5/9/2018 13:00,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39151360,May,5/9/2018 7:31,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SEWARD PARK,MANHATTAN,10002,40.71480112,-73.98929007,"(40.71480112162423, -73.9892900662011)"
39227327,May,5/18/2018 9:41,Department of Parks and Recreation,DPR Internal,Property,Park,HUDSON RIVER PARK,MANHATTAN,10011,40.74980512,-74.00897956,"(40.74980512361341, -74.00897956095878)"
39229335,May,5/18/2018 10:47,Department of Parks and Recreation,DPR Internal,Property,Park,HUDSON RIVER PARK,MANHATTAN,10011,40.74980512,-74.00897956,"(40.74980512361341, -74.00897956095878)"
39155367,May,5/10/2018 14:49,New York City Police Department,Vending,In Prohibited Area,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39313071,May,5/29/2018 16:42,Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Park,FREDERICK DOUGLASS PLAYGROUND,MANHATTAN,10025,40.7971092,-73.96751986,"(40.79710920393656, -73.96751986494625)"
39325429,May,5/30/2018 22:08,Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,CITY HALL,MANHATTAN,10007,40.71274564,-74.0060095,"(40.71274563665573, -74.00600949796177)"
