Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
40921794,11/13/2018 14:08,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40331638,9/20/2018 15:06,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40044938,8/18/2018 9:51,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,HUDSON RIVER PARK,MANHATTAN,10011,40.74980512,-74.00897956,"(40.74980512361341, -74.00897956095878)"
39788927,7/20/2018 15:19,Department of Parks and Recreation,DPR Internal,Property,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40745573,11/5/2018 10:59,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
40781261,11/8/2018 15:26,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40309256,9/17/2018 15:23,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40052826,8/19/2018 15:23,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,INWOOD HILL PARK,MANHATTAN,10034,40.87244554,-73.92513113,"(40.8724455362315, -73.92513113415541)"
39518254,6/20/2018 20:09,Department of Parks and Recreation,DPR Internal,Property,Park,HUDSON RIVER PARK,MANHATTAN,10011,40.74980512,-74.00897956,"(40.74980512361341, -74.00897956095878)"
39788530,7/20/2018 22:41,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,GORMAN PARK,MANHATTAN,10040,40.85568816,-73.93241594,"(40.85568816104838, -73.932415936647)"
39796586,7/21/2018 15:54,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
