Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39562054,6/25/2018 18:36,Mosquito Control,Mosquitoes,Large Number of Mosquitoes,Public Park/Garden,PARKSIDE PLAYGROUND,BROOKLYN,11225,40.65658147,-73.95437924,"(40.65658146577073, -73.9543792396249)"
40354254,9/22/2018 8:08,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
40084351,8/23/2018 19:26,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,BROOKLYN MUSEUM,BROOKLYN,11238,40.67118702,-73.96375279,"(40.67118702447339, -73.96375278956437)"
39318303,5/29/2018 23:14,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,BROOKLYN MUSEUM,BROOKLYN,11238,40.67118702,-73.96375279,"(40.67118702447339, -73.96375278956437)"
39578585,6/27/2018 0:00,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,BKLYN BATTERY TUNNEL,BROOKLYN,11231,40.68530884,-74.0077738,"(40.68530884354915, -74.00777379748439)"
41163068,12/11/2018 13:32,Department of Parks and Recreation,Animal in a Park,Dead Animal,Park,MARINE PARK,BROOKLYN,11229,40.60081723,-73.93031161,"(40.60081722577983, -73.93031160938723)"
39875656,7/30/2018 15:00,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,BROOKLYN BRIDGE PARK,BROOKLYN,11201,40.70143729,-73.99592462,"(40.70143729448085, -73.99592462136417)"
40408109,9/28/2018 20:08,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39847598,7/27/2018 14:16,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,BROOKLYN BRIDGE PARK,BROOKLYN,11201,40.70143729,-73.99592462,"(40.70143729448085, -73.99592462136417)"
40920253,11/13/2018 14:18,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
40359455,9/24/2018 0:07,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39854898,7/28/2018 14:22,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,ASSER LEVY PARK,BROOKLYN,11224,40.57506948,-73.97190429,"(40.575069476456186, -73.97190429053232)"
39644011,7/4/2018 15:44,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,HEAD PARK,BROOKLYN,11212,40.66296701,-73.91343912,"(40.66296700583257, -73.91343912410639)"
39858649,7/28/2018 10:59,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39614647,7/1/2018 17:38,Department of Parks and Recreation,DPR Internal,Aided/Injury,Pool,MCCARREN PARK POOL,BROOKLYN,11222,40.72024439,-73.94950876,"(40.72024438653972, -73.94950876261258)"
40113597,8/26/2018 15:46,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
